image_name,cytoplasm_area,polar_body_area,polar_present,polar_ratio,zona_area,zona_ratio,total_area,circularity
0e5f8548-ovo_30_t226.png,43032,0,0,0,0,0,43032,0.878270727
0e5f8548-ovo_30_t226_aug_0.png,43032,0,0,0,0,0,43032,0.878270727
0e5f8548-ovo_30_t226_aug_1.png,43032,0,0,0,0,0,43032,0.878270727
0e5f8548-ovo_30_t226_aug_2.png,43032,0,0,0,0,0,43032,0.878270727
0eb2f06a-eovo_614_t1.png,96047,0,0,0,132643,1.381021791,228690,0.870454654
0eb2f06a-eovo_614_t1_aug_0.png,96044,0,0,0,132647,1.381106576,228691,0.784939192
0eb2f06a-eovo_614_t1_aug_1.png,96047,0,0,0,132643,1.381021791,228690,0.870454654
0eb2f06a-eovo_614_t1_aug_2.png,96047,0,0,0,132643,1.381021791,228690,0.870454654
0edb7b3d-eovo_270_t1.png,0,0,0,0,211661,0,211661,0.865563431
0edb7b3d-eovo_270_t1_aug_0.png,0,0,0,0,211661,0,211661,0.865563431
0edb7b3d-eovo_270_t1_aug_1.png,0,0,0,0,211664,0,211664,0.76346912
0edb7b3d-eovo_270_t1_aug_2.png,0,0,0,0,211662,0,211662,0.845130185
0f1c1094-ovo_55_t236.png,45864,0,0,0,36853,0.803527821,82717,0.87953308
0f1c1094-ovo_55_t236_aug_0.png,45867,0,0,0,36843,0.803257244,82710,0.811389473
0f1c1094-ovo_55_t236_aug_1.png,45864,0,0,0,36853,0.803527821,82717,0.87953308
0f1c1094-ovo_55_t236_aug_2.png,45864,0,0,0,36853,0.803527821,82717,0.87953308
0f931fe0-ovo_06_t126.png,31364,0,0,0,62212,1.983548017,93576,0.882672108
0f931fe0-ovo_06_t126_aug_0.png,31364,0,0,0,62212,1.983548017,93576,0.882672108
0f931fe0-ovo_06_t126_aug_1.png,31364,0,0,0,62212,1.983548017,93576,0.882672108
0f931fe0-ovo_06_t126_aug_2.png,31364,0,0,0,62212,1.983548017,93576,0.882672108
103f9bc4-ovo_12_t86.png,47892,0,0,0,25592,0.534368997,73484,0.879023875
103f9bc4-ovo_12_t86_aug_0.png,47900,0,0,0,25594,0.534321503,73494,0.757348574
103f9bc4-ovo_12_t86_aug_1.png,47894,0,0,0,25594,0.534388441,73488,0.797224849
103f9bc4-ovo_12_t86_aug_2.png,47892,0,0,0,25592,0.534368997,73484,0.879023875
1079fd1f-eovo_437_t1.png,101849,0,0,0,109332,1.073471512,211181,0.871533861
1079fd1f-eovo_437_t1_aug_0.png,101853,0,0,0,109337,1.073478444,211190,0.774007302
1079fd1f-eovo_437_t1_aug_1.png,101850,0,0,0,109329,1.073431517,211179,0.870937616
1079fd1f-eovo_437_t1_aug_2.png,101849,0,0,0,109332,1.073471512,211181,0.871533861
1125f2b0-ovo_32_t16.png,42771,0,0,0,40147,0.93865002,82918,0.873091281
1125f2b0-ovo_32_t16_aug_0.png,42771,0,0,0,40147,0.93865002,82918,0.873091281
1125f2b0-ovo_32_t16_aug_1.png,42771,0,0,0,40147,0.93865002,82918,0.873091281
1125f2b0-ovo_32_t16_aug_2.png,42771,0,0,0,40147,0.93865002,82918,0.873091281
126ff7c6-ovo_34_t11.png,23537,0,0,0,25912,1.100904958,49449,0.877247579
126ff7c6-ovo_34_t11_aug_0.png,23535,0,0,0,25910,1.100913533,49445,0.820674676
126ff7c6-ovo_34_t11_aug_1.png,23538,0,0,0,25903,1.100475826,49441,0.809968009
126ff7c6-ovo_34_t11_aug_2.png,23533,0,0,0,25914,1.10117707,49447,0.816703343
12c138ce-ovo_06_t231.png,28759,0,0,0,63637,2.212768177,92396,0.891699988
12c138ce-ovo_06_t231_aug_0.png,28759,0,0,0,63637,2.212768177,92396,0.891699988
12c138ce-ovo_06_t231_aug_1.png,28754,0,0,0,62939,2.188878069,91693,0.799083215
12c138ce-ovo_06_t231_aug_2.png,28759,0,0,0,63637,2.212768177,92396,0.891699988
13409539-eovo_35_t1.png,0,0,0,0,192181,0,192181,0.860008483
13409539-eovo_35_t1_aug_0.png,0,0,0,0,192181,0,192181,0.860008483
13409539-eovo_35_t1_aug_1.png,0,0,0,0,192175,0,192175,0.776152566
13409539-eovo_35_t1_aug_2.png,0,0,0,0,192181,0,192181,0.860008483
134d36f8-ovo_53_t146.png,43374,0,0,0,33234,0.766219394,76608,0.888673624
134d36f8-ovo_53_t146_aug_0.png,43374,0,0,0,33234,0.766219394,76608,0.888673624
134d36f8-ovo_53_t146_aug_1.png,43374,0,0,0,33234,0.766219394,76608,0.888673624
134d36f8-ovo_53_t146_aug_2.png,43374,0,0,0,33234,0.766219394,76608,0.888673624
1360a262-ovo_05_t196.png,48298,0,0,0,45859,0.949501015,94157,0.886167712
1360a262-ovo_05_t196_aug_0.png,48305,0,0,0,45860,0.949384122,94165,0.792909162
1360a262-ovo_05_t196_aug_1.png,48304,0,0,0,45851,0.949217456,94155,0.814662421
1360a262-ovo_05_t196_aug_2.png,48292,0,0,0,45869,0.949826058,94161,0.814688632
138398a0-ovo_22_t16.png,40640,0,0,0,38806,0.954872047,79446,0.880058098
138398a0-ovo_22_t16_aug_0.png,40647,0,0,0,38803,0.954633798,79450,0.786776054
138398a0-ovo_22_t16_aug_1.png,40640,0,0,0,38806,0.954872047,79446,0.880058098
138398a0-ovo_22_t16_aug_2.png,40640,0,0,0,38806,0.954872047,79446,0.880058098
1398037b-ovo_47_t66.png,41904,0,0,0,38716,0.923921344,80620,0.873615932
1398037b-ovo_47_t66_aug_0.png,41904,0,0,0,38716,0.923921344,80620,0.873615932
1398037b-ovo_47_t66_aug_1.png,41904,0,0,0,38716,0.923921344,80620,0.873615932
1398037b-ovo_47_t66_aug_2.png,41904,0,0,0,38716,0.923921344,80620,0.873615932
13baed13-eovo_610_t1.png,94030,0,0,0,91520,0.973306392,185550,0.870811602
13baed13-eovo_610_t1_aug_0.png,94030,0,0,0,91520,0.973306392,185550,0.867175
13baed13-eovo_610_t1_aug_1.png,94019,0,0,0,91528,0.973505355,185547,0.785411393
13baed13-eovo_610_t1_aug_2.png,94030,0,0,0,91520,0.973306392,185550,0.870811602
13e7526c-ovo_20_t136.png,47528,0,0,0,37678,0.792753745,85206,0.88217095
13e7526c-ovo_20_t136_aug_0.png,47527,0,0,0,37686,0.792938751,85213,0.832445336
13e7526c-ovo_20_t136_aug_1.png,47528,0,0,0,37678,0.792753745,85206,0.88217095
13e7526c-ovo_20_t136_aug_2.png,47528,0,0,0,37678,0.792753745,85206,0.88217095
14016f9e-ovo_24_t26.png,42951,0,0,0,38189,0.889129473,81140,0.863959482
